,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
90,6,2006-01-01,A,2553071988.0,1066037358.0,357502925.5,1423540283.0,1129531705.0,深振业A,1244788821.0,01
91,6,2006-03-31,A,2606651791.0,1058476751.0,357914585.3,1416391336.0,1190260455.0,G 深振业,1237434043.0,03
92,6,2006-06-30,A,2396878299.0,754197754.1,358325245.0,1112522999.0,1284355300.0,G 深振业,933360376.5,06
93,6,2006-09-30,A,2915144406.0,1117609189.0,508790323.8,1626399513.0,1288744893.0,G 深振业,1372004351.0,09
94,6,2006-12-31,A,2918925351.0,1384012483.0,208499502.1,1592511985.0,1326413366.0,深振业A,1488262234.0,12
95,6,2007-01-01,A,3142328214.0,1384012483.0,236160314.0,1620172797.0,1522155417.0,深振业A,1502092640.0,01
96,6,2007-03-31,A,3264880820.0,1119491711.0,758692109.1,1878183820.0,1386697000.0,深振业A,1498837765.0,03
97,6,2007-06-30,A,3239841547.0,758597562.5,1114617171.0,1873214733.0,1366626814.0,深振业A,1315906148.0,06
98,6,2007-09-30,A,4848314045.0,1664191234.0,1765123333.0,3429314567.0,1418999477.0,深振业A,2546752900.0,09
99,6,2007-12-31,A,5568431162.0,1691206825.0,2080951110.0,3772157935.0,1796273227.0,深振业A,2731682380.0,12
100,6,2008-01-01,A,5568431162.0,1691206825.0,2080951110.0,3772157935.0,1796273227.0,深振业A,2731682380.0,01
101,6,2008-03-31,A,5716664609.0,1374800049.0,2313915778.0,3688715827.0,2027948782.0,深振业A,2531757938.0,03
102,6,2008-06-30,A,6144874343.0,1598861108.0,2733508955.0,4332370063.0,1812504280.0,深振业A,2965615585.0,06
103,6,2008-09-30,A,6120101935.0,2536044236.0,1806026525.0,4342070760.0,1778031175.0,深振业A,3439057498.0,09
104,6,2008-12-31,A,5921442330.0,2970886776.0,1272863762.0,4243750538.0,1677691792.0,深振业A,3607318657.0,12
105,6,2009-01-01,A,5921442330.0,2970886776.0,1272863762.0,4243750538.0,1677691792.0,深振业A,3607318657.0,01
106,6,2009-03-31,A,6776875613.0,3055959367.0,1878567694.0,4934527061.0,1842348552.0,深振业A,3995243214.0,03
107,6,2009-06-30,A,7340427809.0,3377804024.0,2045726875.0,5423530899.0,1916896910.0,深振业A,4400667461.0,06
108,6,2009-09-30,A,7599040123.0,1992724294.0,3645542239.0,5638266533.0,1960773590.0,深振业A,3815495414.0,09
109,6,2009-12-31,A,7272027535.0,1414895418.0,3665174354.0,5080069772.0,2191957763.0,深振业A,3247482595.0,12
110,6,2010-01-01,A,7272027535.0,1414895418.0,3665174354.0,5080069772.0,2191957763.0,深振业A,3247482595.0,01
111,6,2010-03-31,A,7701140350.0,1695456786.0,3781268569.0,5476725355.0,2224414994.0,深振业A,3586091071.0,03
112,6,2010-06-30,A,7533025573.0,1573389870.0,3861453469.0,5434843339.0,2098182234.0,深振业A,3504116605.0,06
113,6,2010-09-30,A,8054596670.0,3552542889.0,2325914068.0,5878456957.0,2176139713.0,深振业A,4715499923.0,09
114,6,2010-12-31,A,8568302263.0,3748879411.0,2261104332.0,6009983743.0,2558318520.0,深振业A,4879431577.0,12
115,6,2011-01-01,A,8568302263.0,3748879411.0,2261104332.0,6009983743.0,2558318520.0,深振业A,4879431577.0,01
116,6,2011-03-31,A,8073813736.0,3911485159.0,1560512589.0,5471997747.0,2601815989.0,深振业A,4691741453.0,03
117,6,2011-06-30,A,7896137543.0,4014206054.0,1236762451.0,5250968506.0,2645169038.0,深振业A,4632587280.0,06
118,6,2011-09-30,A,7682876213.0,4390713682.0,512072293.1,4902785975.0,2780090238.0,深振业A,4646749829.0,09
119,6,2011-12-31,A,8321974063.0,5044612359.0,388432013.3,5433044372.0,2888929691.0,深振业A,5238828366.0,12
120,6,2012-01-01,A,8321974063.0,5044612359.0,388432013.3,5433044372.0,2888929691.0,深振业A,5238828366.0,01
121,6,2012-03-31,A,8324651886.0,4743774150.0,573695427.2,5317469578.0,3007182309.0,深振业A,5030621864.0,03
122,6,2012-06-30,A,8372144639.0,4293250460.0,866515348.1,5159765808.0,3212378830.0,深振业A,4726508134.0,06
123,6,2012-09-30,A,8990322010.0,4491231308.0,1272347782.0,5763579090.0,3226742920.0,深振业A,5127405199.0,09
124,6,2012-12-31,A,9343430260.0,4524701408.0,1269767021.0,5794468428.0,3548961831.0,深振业A,5159584918.0,12
125,6,2013-01-01,A,9343430260.0,4524701408.0,1269767021.0,5794468428.0,3548961831.0,深振业A,5159584918.0,01
126,6,2013-03-31,A,9918719390.0,4646265800.0,1633401956.0,6279667756.0,3639051634.0,深振业A,5462966778.0,03
127,6,2013-06-30,A,10413353215.0,4250944056.0,2397767476.0,6648711532.0,3764641682.0,深振业A,5449827794.0,06
128,6,2013-09-30,A,10826192946.0,4273541662.0,2698879277.0,6972420940.0,3853772006.0,深振业A,5622981301.0,09
129,6,2013-12-31,A,9968160025.0,3079324258.0,2701926959.0,5781251217.0,4186908808.0,深振业A,4430287738.0,12
130,6,2014-01-01,A,10068536361.0,3179700595.0,2701926959.0,5881627553.0,4186908808.0,深振业A,4530664074.0,01
131,6,2014-03-31,A,10128976089.0,3333205093.0,2614633179.0,5947838272.0,4181137818.0,深振业A,4640521683.0,03
132,6,2014-06-30,A,11009599980.0,4026491676.0,3008024143.0,7034515819.0,3975084161.0,深振业A,5530503747.0,06
133,6,2014-09-30,A,11557341503.0,4933491718.0,2614870113.0,7548361831.0,4008979672.0,深振业A,6240926775.0,09
134,6,2014-12-31,A,11753217519.0,5404446337.0,2134305366.0,7538751703.0,4214465816.0,深振业A,6471599020.0,12
135,6,2015-01-01,A,11753217519.0,5404446337.0,2134305366.0,7538751703.0,4214465816.0,深振业A,6471599020.0,01
136,6,2015-03-31,A,12169108201.0,4977048751.0,2766548760.0,7743597511.0,4425510690.0,深振业A,6360323131.0,03
137,6,2015-06-30,A,11770598640.0,4559669372.0,2886248706.0,7445918078.0,4324680562.0,深振业A,6002793725.0,06
138,6,2015-09-30,A,12386933104.0,4213750387.0,3830326253.0,8044076639.0,4342856465.0,深振业A,6128913513.0,09
139,6,2015-12-31,A,12703504209.0,4258388071.0,3949990985.0,8208379056.0,4495125153.0,深振业A,6233383564.0,12
140,6,2016-01-01,A,12703504209.0,4258388071.0,3949990985.0,8208379056.0,4495125153.0,深振业A,6233383564.0,01
141,6,2016-03-31,A,12781117104.0,3771670027.0,4465349005.0,8237019032.0,4544098071.0,深振业A,6004344530.0,03
142,6,2016-06-30,A,13123005009.0,4387795516.0,4297355896.0,8685151412.0,4437853598.0,深振业A,6536473464.0,06
143,6,2016-09-30,A,13957643134.0,5232204106.0,4273087257.0,9505291363.0,4452351770.0,深振业A,7368747735.0,09
144,6,2016-12-31,A,13170385530.0,4554622279.0,3485887625.0,8040509904.0,5129875626.0,深振业A,6297566092.0,12
145,6,2017-01-01,A,13170385530.0,4554622279.0,3485887625.0,8040509904.0,5129875626.0,深振业A,6297566092.0,01
146,6,2017-03-31,A,13265496850.0,5750077169.0,2272948714.0,8023025883.0,5242470967.0,深振业A,6886551526.0,03
